"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",33.0453267264094,1091.99361845515,36085.2859050043,1192450.06274676,39404901.9283942,1302147858.84591,43029901441.6573,1421937152144.76,46988377777043.7,1552746295986364,51311008674091368,1695589046296975104,56031294028604432384,1.85157241807874e+21,6.118581551302e+22,2.02190526464955e+24,6.68145200801917e+25,2.20790764611818e+27,7.29610295477126e+28,2.41102105969937e+30,7.96729786620195e+31,2.63281961115268e+33,8.70023842622384e+34,2.87502221392229e+36,9.50060484047468e+37
"2",98.4783421697226,9697.98387649697,955041.374546122,94050891.2687952,9261975851.73579,912104027094.945,89822492474638,8845570148454733,871097083765809408,85784196678136905738,8.44788547322435e+21,8.31933756242817e+23,8.19274571098227e+25,8.06808015435639e+27,7.94531158093458e+29,7.82441112512335e+31,7.70535036056482e+33,7.58810129345298e+35,7.47263635595177e+37,7.35892839971327e+39,7.24695068949453e+41,7.1366768968715e+43,7.02808109404866e+45,6.92113774776282e+47,6.8158217132797e+49
"3",154.2262572993,23785.7384405499,3668385.4167861,565761353.162252,87255256022.8017,13457051566088.9,2075430697321575,320085908731982848,4.9365651717979e+19,7.61347970360467e+21,1.17419847971113e+24,1.81092236852376e+26,2.79291779157003e+28,4.30741257938472e+30,6.64316120762429e+32,1.02454988968779e+35,1.58012494902959e+37,2.43696756954081e+39,3.7584438741005e+41,5.79650731972002e+43,8.93973629328415e+45,1.37874206975593e+48,2.12638229199548e+50,3.2794398248197e+52,5.05775730220214e+54
"4",52.7602491267895,2783.64388792089,146865.745006971,7748673.29475933,408821933.433603,21569547056.4527,1138014676250.45,60041937828916.5,3167827597908840,167135373256389472,8818103930906058752,4.65245360220525e+20,2.45464611103178e+22,1.29507740336142e+24,6.83286064398241e+25,3.60503429825147e+27,1.90202507686368e+29,1.00351316900729e+31,5.29456047988386e+32,2.79342329935526e+34,1.47381709190562e+36,7.77589569362609e+37,4.10258193979642e+39,2.16453245206726e+41,1.14201271414089e+43
"5",171.76822610291,29504.3234985404,5067905.3097107,870505105.106525,149525117717.675,25683664228193.9,4411637444299627,757779138016522496,1.3016237831489e+20,2.23577608284846e+22,3.84035291714193e+24,6.59650608186605e+26,1.13307014815919e+29,1.94625449399465e+31,3.34304681978279e+33,5.74229222013064e+35,9.86343348416381e+37,1.69422447285886e+40,2.91013932323105e+42,4.9986946926372e+44,8.58616920184324e+46,1.47483105282005e+49,2.53329113744388e+51,4.35138924880958e+53,7.47430412351296e+55
"6",169.45991556813,28716.6629843579,4866323.28472775,824646732.957192,139744565740.46,23681102311483.5,4012997598264247,680042234176969728,1.15239899586392e+20,1.95285436539898e+22,3.30930535877367e+24,5.60794606686947e+26,9.5032206700233e+28,1.61041497236746e+31,2.72900785247043e+33,4.62457440264404e+35,7.83679987810597e+37,1.32802344566817e+40,2.25046740975426e+42,3.81364017245787e+44,6.46259141631941e+46,1.09515019576081e+49,1.85584059708049e+51,3.14490590889168e+53,5.32935489790499e+55
"7",184.599818528982,34077.093000933,6290625.18396746,1161248267.39424,214366219428.07,39571965205165.6,7304977595708755,1348497538526113024,2.48932400898699e+20,4.59528760318836e+22,8.4828925763705e+24,1.56594043019884e+27,2.89072319241901e+29,5.33626976738069e+31,9.85074430680166e+33,1.81844561141099e+36,3.35684729871291e+38,6.19673402171906e+40,1.14391597588171e+43,2.11166681560166e+45,3.89813310953739e+47,7.19594664622417e+49,1.32837044503722e+52,2.45216943093133e+54,4.52670031952239e+56
"8",277.586017017221,77053.996843485,21389112.0790405,5937318429.55579,1648116574623.34,457494115529757,126993969338721760,35251750133942878208,9.7853929125675e+21,2.71628824354816e+24,7.54003634597236e+26,2.09300865744355e+29,5.80989936802316e+31,1.61274682484042e+34,4.47675967564622e+36,1.24268588750594e+39,3.44952225916285e+41,9.57539144533262e+43,2.65799477269065e+46,7.37822182203793e+48,2.04809120824905e+51,5.68521480985842e+53,1.57813613495592e+56,4.38068524013365e+58,1.21601696761483e+61
"9",101.016206753761,10204.2740269186,1030797.05487524,104127208.416445,10518535614.0876,1062542568339.47,107334019768052,10842475532601840,1095265750123902336,1.10639591464829e+20,1.11763918465628e+22,1.12899670953344e+24,1.14046965034546e+26,1.15205917995686e+28,1.16376648315091e+30,1.1755927567507e+32,1.18753920974152e+34,1.19960706339447e+36,1.21179755139128e+38,1.22411191995043e+40,1.23655142795456e+42,1.24911734707916e+44,1.26181096192258e+46,1.27463357013734e+48,1.28758648256278e+50
"10",309.961097767191,96075.8821290422,29779785.8936692,9230575126.87361,2861119199348.27,886835647872777,274884550953724096,85203517172857683978,2.64097757165247e+22,8.1860030728793e+24,2.53734249879527e+27,7.86477466337928e+29,2.43777418835263e+32,7.55615163530305e+34,2.34211305577389e+37,7.25963933862545e+39,2.25020577879423e+42,6.97476253397137e+44,2.16190505169524e+47,6.70106463091893e+49,2.07706934920853e+52,6.4381069561926e+54,1.99556269968405e+57,6.18546805057327e+59,1.91725446715958e+62
